"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",1894.01399604796,0.12431559356327,0.124747444451168,0.99653819851943,0.318988716875885,0.561072665005562,"TSPAN6"
"ENSG00000000419",4240.34304403163,0.203741027577946,0.0973180095098761,2.09355933813329,0.0362992529596384,0.13519657368657,"DPM1"
"ENSG00000000457",511.838964437841,-0.289371074348551,0.147500849526073,-1.96182649305624,0.0497826881296109,0.169256515145728,"SCYL3"
"ENSG00000000460",585.139688741031,-0.572772293236847,0.133317398061793,-4.29630567025742,1.73668072602662e-05,0.000264110171354187,"FIRRM"
"ENSG00000000938",26.7765755960521,-0.399812155289721,0.519138004671915,-0.770146187895441,0.441213180440005,0.67580675472292,"FGR"
"ENSG00000000971",3552.31789448186,0.215032710300064,0.113494964233363,1.89464538583336,0.0581393976703463,0.188087974785033,"CFH"
"ENSG00000001036",8886.17979122913,0.247294097927432,0.0575879194229158,4.29420094362755,1.75323629334838e-05,0.000266443384096404,"FUCA2"
"ENSG00000001084",1428.50629722348,0.366822718756359,0.118284680425829,3.10118535583632,0.00192747595408706,0.0142133552557931,"GCLC"
"ENSG00000001167",1547.32639794626,0.0700897978400068,0.0835587090104725,0.838809008301246,0.40157649480908,0.640020368820769,"NFYA"
"ENSG00000001460",597.391318596621,0.175620854989107,0.136060782941151,1.2907529355102,0.196789362448384,0.420539325856135,"STPG1"
"ENSG00000001461",2123.43443150181,-0.0439321191317232,0.0754313525359216,-0.582411923620249,0.560289251971966,0.764734695604011,"NIPAL3"
"ENSG00000001497",3270.39543502466,-0.155583713740384,0.0873901261570653,-1.78033515434862,0.0750211271859068,0.221803302296659,"LAS1L"
"ENSG00000001561",704.005168860863,0.49453824268505,0.236884260040767,2.08767877865732,0.0368268203786612,0.136829860430714,"ENPP4"
"ENSG00000001617",4498.95980718606,0.0398845011426148,0.0825895214308827,0.482924473366675,0.629149364029297,0.810452461173032,"SEMA3F"
"ENSG00000001626",12.3312093619329,-0.161035642419037,0.529100464932248,-0.304357401083853,0.760855618239177,0.886968488437899,"CFTR"
"ENSG00000001629",3667.26800700083,0.130831227222026,0.14667591034166,0.891974877928306,0.372406397946057,0.612608833072966,"ANKIB1"
"ENSG00000001630",10143.0195071622,0.280467298540876,0.10980823370917,2.55415544961503,0.0106445721889351,0.054782002640969,"CYP51A1"
"ENSG00000001631",2910.11873847919,0.0534900449916573,0.126214489684908,0.423802727604366,0.671709688733499,0.836463624534646,"KRIT1"
"ENSG00000002016",764.553705252799,-0.491172886644667,0.130933091276649,-3.75132735243275,0.000175900858938252,0.00197685919257114,"RAD52"
"ENSG00000002079",89.1793440018146,-0.554255988432304,0.364601202044766,-1.52017049127625,0.128468131741136,0.319331007356904,"MYH16"
"ENSG00000002330",1479.48927290323,-0.216040518126036,0.129614265592058,-1.66679583562192,0.0955550085955543,0.261971034801295,"BAD"
"ENSG00000002549",2094.58317961368,0.326631784017973,0.0867797995819407,3.76391493863218,0.000167273802954066,0.00189347047055221,"LAP3"
"ENSG00000002586",8632.67321228032,-0.0817669254708785,0.0870311779846227,-0.939513026990462,0.347467407043391,0.589757433151204,"CD99"
"ENSG00000002587",653.057598200931,0.528662966476447,0.146379986711378,3.61157954959257,0.000304337698743194,0.0031749434035157,"HS3ST1"
"ENSG00000002746",204.178192373765,0.181763687284872,0.215870627682545,0.842002866421315,0.399786348988083,0.638634481979944,"HECW1"
"ENSG00000002822",1558.51768502141,0.118199214883064,0.131703666493011,0.897463358693486,0.369471717013291,0.610274456984721,"MAD1L1"
"ENSG00000002834",22380.5662215262,0.0967918328653636,0.0909007720113814,1.06480759979953,0.286963005307297,0.528666744676865,"LASP1"
"ENSG00000002919",1033.40472525566,0.272183980209657,0.0894366549175853,3.04331574632874,0.00233986681840615,0.0166020921913406,"SNX11"
"ENSG00000003056",12145.9473433259,0.252312793574714,0.0701867105342462,3.59487988045263,0.00032454128008984,0.00334130182062809,"M6PR"
"ENSG00000003096",838.338859203267,0.735752949209291,0.13635396851767,5.3959041838518,6.81793255325166e-08,1.81261257711146e-06,"KLHL13"
"ENSG00000003137",31.1735208359359,-0.185721058219578,0.47972286437952,-0.387142394098292,0.698650793985379,0.852382678732777,"CYP26B1"
"ENSG00000003147",32.0693494348524,-0.73232368169199,0.609568349311065,-1.20138075167397,0.229603539180448,0.461306862165754,"ICA1"
"ENSG00000003249",189.988989211297,-0.655904854803977,0.218064442389162,-3.00784872406404,0.00263104070214358,0.0183479370654408,"DBNDD1"
"ENSG00000003393",2894.26957422964,0.0900903153505633,0.0829604207124086,1.08594332787765,0.277504066054568,0.518460889106544,"ALS2"
"ENSG00000003400",337.053077291237,-0.174547088581056,0.156592574567955,-1.11465750571276,0.264997217459636,0.503553439262922,"CASP10"
"ENSG00000003402",3795.15948154769,0.0271276982350998,0.0717983261515131,0.377831903460441,0.705555471926564,0.856440280990495,"CFLAR"
"ENSG00000003436",2614.99485107659,-0.0960409426817288,0.133291252092999,-0.72053447749684,0.471195979742597,0.70009903350118,"TFPI"
"ENSG00000003509",995.438083920555,-0.0691057991325314,0.0978617292379623,-0.706157551789143,0.480090164713975,0.706246253558999,"NDUFAF7"
