"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",1894.01399604796,0.0704779609719687,0.124586496767766,0.565695021534657,0.571601120133879,0.792600447185027,"TSPAN6"
"ENSG00000000419",4240.34304403163,0.0911911433673749,0.0972707291681427,0.93749830136198,0.348502297112806,0.621975540805017,"DPM1"
"ENSG00000000457",511.838964437841,-0.365155494397077,0.146942415159978,-2.48502444988077,0.0129542537085196,0.0748508941166521,"SCYL3"
"ENSG00000000460",585.139688741031,-0.773468460319672,0.133262145566884,-5.80411231583745,6.47078926787871e-09,2.06313547928754e-07,"FIRRM"
"ENSG00000000938",26.7765755960521,0.186596491108076,0.507637966702452,0.367577886894831,0.713188005881384,0.873601587336446,"FGR"
"ENSG00000000971",3552.31789448186,0.360862500759851,0.113079116980039,3.19123911113977,0.00141663986046764,0.0131162834516317,"CFH"
"ENSG00000001036",8886.17979122913,0.0809879096295665,0.0575566042510855,1.40710020480472,0.159397677405571,0.405025250607675,"FUCA2"
"ENSG00000001084",1428.50629722348,0.268705351078703,0.11802458509991,2.27668964776483,0.0228047651530131,0.112609963592924,"GCLC"
"ENSG00000001167",1547.32639794626,0.0514301823517874,0.0830951290294334,0.618931373625645,0.535961569248188,0.768904391568178,"NFYA"
"ENSG00000001460",597.391318596621,-0.0418534537850623,0.136064209146318,-0.307600757375181,0.758386143831348,0.897612773752702,"STPG1"
"ENSG00000001461",2123.43443150181,-0.078336281206874,0.075178535942677,-1.04200328224807,0.29741015720874,0.572007603495219,"NIPAL3"
"ENSG00000001497",3270.39543502466,-0.199432698450635,0.0872745436671906,-2.28511877657183,0.0223058641041176,0.110982876030041,"LAS1L"
"ENSG00000001561",704.005168860863,0.353835830187136,0.236558582303035,1.49576407984162,0.134715144929289,0.365986479693895,"ENPP4"
"ENSG00000001617",4498.95980718606,0.3236405567089,0.0822087520437585,3.93681388736604,8.25705951308939e-05,0.00117602299236217,"SEMA3F"
"ENSG00000001629",3667.26800700083,0.229643415310459,0.146543618587146,1.5670652705624,0.117099435900495,0.335954433733466,"ANKIB1"
"ENSG00000001630",10143.0195071622,0.0860169756032609,0.10978867764155,0.783477654081034,0.433346670896124,0.695642656172959,"CYP51A1"
"ENSG00000001631",2910.11873847919,0.0116960141751873,0.126100426653532,0.092751582889745,0.92610091637767,0.972419414444269,"KRIT1"
"ENSG00000002016",764.553705252799,-0.135691519711622,0.129240334993654,-1.04991618691088,0.293756648712064,0.567884783489626,"RAD52"
"ENSG00000002079",89.1793440018146,-0.20796859430052,0.354378062420433,-0.58685515937436,0.557300987420088,0.783632169378426,"MYH16"
"ENSG00000002330",1479.48927290323,-0.209163016757613,0.129360099040084,-1.61690519959173,0.105898745876783,0.316310370357809,"BAD"
"ENSG00000002549",2094.58317961368,0.164969975692249,0.0866853837109673,1.90308871726638,0.0570289699243522,0.213346542487308,"LAP3"
"ENSG00000002586",8632.67321228032,-0.208209266802417,0.0870139795847456,-2.39282547236718,0.0167191919153234,0.0901903818858482,"CD99"
"ENSG00000002587",653.057598200931,0.453351463218606,0.146219042068156,3.10049537191805,0.00193197232958622,0.0167276733512569,"HS3ST1"
"ENSG00000002746",204.178192373765,0.095448025289551,0.215202509629063,0.443526543691666,0.657384924239878,0.843589297486063,"HECW1"
"ENSG00000002822",1558.51768502141,-0.106306519224149,0.131714504872633,-0.807098043810336,0.419609999061151,0.683424324441069,"MAD1L1"
"ENSG00000002834",22380.5662215262,0.105761173203116,0.0908767869545259,1.16378644918463,0.244510565014574,0.517454368599145,"LASP1"
"ENSG00000002919",1033.40472525566,-0.00275611030744026,0.0895795887118363,-0.0307671685824127,0.975455223693441,0.992639648056785,"SNX11"
"ENSG00000003056",12145.9473433259,0.184896602950134,0.0701026583475703,2.6375120046577,0.00835166694512283,0.0538483668747444,"M6PR"
"ENSG00000003096",838.338859203267,0.468092020357061,0.136405850879777,3.43161248097502,0.000600004253244278,0.00642074385259794,"KLHL13"
"ENSG00000003137",31.1735208359359,0.0746580123163682,0.474984569156568,0.15717986891435,0.875103093365477,0.949391529020805,"CYP26B1"
"ENSG00000003147",32.0693494348524,-1.5991491028006,0.668490576136618,-2.39217897736495,0.0167486727608803,0.0903014451217094,"ICA1"
"ENSG00000003249",189.988989211297,-1.00144774433925,0.21891969460827,-4.5744981790296,4.77362759658333e-06,9.42199965856243e-05,"DBNDD1"
"ENSG00000003393",2894.26957422964,0.19305162016375,0.0822508267949189,2.34710856639894,0.018919741066541,0.0987418350437608,"ALS2"
"ENSG00000003400",337.053077291237,-0.104824932048408,0.154929401270427,-0.676598058140284,0.498661011514911,0.743106988324004,"CASP10"
"ENSG00000003402",3795.15948154769,-0.197991438584251,0.0718078409581323,-2.75723982147981,0.00582915816718706,0.0407539422979584,"CFLAR"
"ENSG00000003436",2614.99485107659,-0.0727086697139715,0.133095203737886,-0.546290682699297,0.584866139865527,0.799961701169699,"TFPI"
"ENSG00000003509",995.438083920555,-0.0418702658894094,0.0972033420423141,-0.43074924184379,0.666650710130814,0.849183013921126,"NDUFAF7"
"ENSG00000003756",2149.94630934003,-0.000702351340226686,0.0883376158805778,-0.00795076178166482,0.99365627676386,0.999333261236646,"RBM5"
"ENSG00000003987",260.280459993139,0.182366935740475,0.305515804713895,0.596914899087644,0.550564199410175,0.779143186884899,"MTMR7"
"ENSG00000003989",100.251648476403,-6.46032879938822,1.69524938091135,-3.81084274215468,0.000138493851131596,0.0018217682101572,"SLC7A2"
"ENSG00000004059",5924.356416871,-0.198051643682562,0.0881485107170268,-2.24679511964013,0.0246531238136787,0.119215463013289,"ARF5"
"ENSG00000004139",1106.2198705834,0.206678247432337,0.126370945261899,1.63548865606729,0.101946650812354,0.308667494595271,"SARM1"
"ENSG00000004142",6183.99920748932,0.159475455532603,0.0885498384898647,1.80096833887344,0.0717078704116309,0.24730630804215,"POLDIP2"
"ENSG00000004399",3972.74715400095,0.0237607745444753,0.116985263022174,0.203109126146698,0.839049738768011,0.935577120478383,"PLXND1"
"ENSG00000004455",8395.79007398997,-0.0126375554038917,0.0504543847912587,-0.250474868659605,0.802220137304853,0.918645184295307,"AK2"
"ENSG00000004478",5212.30053779556,0.133850158549452,0.0866608310251264,1.54452890615189,0.122460254125586,0.345056570656305,"FKBP4"
"ENSG00000004487",3640.43606119074,-0.0710998659538035,0.0590293364656655,-1.20448357055748,0.228402728434686,0.499954112455016,"KDM1A"
"ENSG00000004534",2031.40973992589,0.0274362005966745,0.0772163347648917,0.355316018044786,0.722352856710438,0.87834440039448,"RBM6"
"ENSG00000004660",1347.34500667936,-0.121649168728917,0.111806327289082,-1.08803474435204,0.276579769513114,0.549856609124054,"CAMKK1"
"ENSG00000004700",4157.90550900141,-0.219319265459492,0.158331107356037,-1.38519378233307,0.165993221411296,0.414421920942031,"RECQL"
"ENSG00000004766",1104.36103982525,-0.0285357554068673,0.16074315566735,-0.177523921864024,0.859096876708942,0.942792325388156,"VPS50"
"ENSG00000004777",742.7498852066,-0.969623081562686,0.165731422218686,-5.85056876108411,4.89894880223754e-09,1.61260373052584e-07,"ARHGAP33"
"ENSG00000004779",1830.84340198558,0.0442245142475725,0.099490610030544,0.444509428919929,0.656674313366121,0.843192198203792,"NDUFAB1"
"ENSG00000004799",278.973814330557,0.272809793277835,0.165641468744893,1.64698970218619,0.0995601625041698,0.304748551856865,"PDK4"
"ENSG00000004864",3876.3791999046,0.260861561059643,0.0885264972787776,2.94670600417147,0.00321178405226979,0.025263878428195,"SLC25A13"
"ENSG00000004866",1146.68843479168,-0.0629305848060376,0.0930018708266604,-0.676659342942998,0.498622118007048,0.743106988324004,"ST7"
"ENSG00000004897",4907.3286489363,0.209405355372702,0.15260876385584,1.37217123107369,0.170010139049593,0.419143714991166,"CDC27"
"ENSG00000004961",1128.48060404418,0.350226988724022,0.0908896384498057,3.85332139831799,0.000116526270532266,0.00157252395648526,"HCCS"
