"","Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples"
"587","MYO3A",-0.282817614736854,6.025984155855,-12.6783503444259,1.93236038204247e-05,5.15407157072363e-05,2.12565639060204,6
"588","CCDC127",-0.298984365356128,6.2395848202223,-12.0940953466515,2.51706406671964e-05,6.53338609264309e-05,2.09335597708042,6
"589","BBIP1",-0.359886902126872,6.52391803287719,-12.4407436536281,2.14865838482327e-05,5.6626482475666e-05,2.06825933062683,6
"590","CDCA8",-0.488450102239148,6.17891749644542,-12.4099861899255,2.17867490578859e-05,5.72225819907461e-05,2.06651807162476,6
"591","SLC44A2",-0.537340436820348,5.55580410958181,-12.4305939676782,2.15850988950056e-05,5.67893673309075e-05,2.0644385111136,6
"592","QRICH1",-0.293129913830398,6.5358250405727,-12.0875674945538,2.5246784664727e-05,6.54217351362357e-05,2.03727868076554,6
"593","ZNF611",-0.583358119378396,6.11281609449891,-12.3216773308177,2.26761470340304e-05,5.93570210856938e-05,2.01683629704733,6
"594","BHLHE40",0.38879001770343,6.72479865457422,11.9399249817731,2.70429200891612e-05,6.88082193715994e-05,2.00036972287147,6
"595","NO_SITE_235",1.37376056597021,6.81751690290173,12.1489404951344,2.45413752344201e-05,6.39149957704511e-05,1.97810913769351,6
"596","GOLGA6L5P",-0.810432366248444,6.3168693726354,-11.9629842131713,2.67528039149456e-05,6.8407582903175e-05,1.97597728098567,6
"597","PGD",-0.432366840040614,6.1470052757427,-12.2163282689158,2.37931699063086e-05,6.21757328463842e-05,1.96229507597606,6
"598","NO_SITE_144",-1.27771132616501,5.94770911031108,-12.058982771168,2.55833921016896e-05,6.61831230456753e-05,1.9576925405707,6
"599","TMEM196",-0.918738880121178,6.01744461940579,-12.044528480371,2.57555948364081e-05,6.65173709714915e-05,1.94084333144492,6
"600","LOC124902388",0.359345499335023,6.92381596338379,11.9426244389553,2.70087682481164e-05,6.88082193715994e-05,1.93406188179572,6
"601","PLXDC2",0.359345499335023,6.92381596338379,11.9426244389553,2.70087682481164e-05,6.88082193715994e-05,1.93406188179572,6
"602","GAS2",-0.283320399620343,6.62984553448448,-12.0385667994284,2.58270136760113e-05,6.65906502613158e-05,1.91500698075308,6
"603","CCDC15",-0.310698877736365,6.30394013031186,-12.0196752229293,2.60548592701716e-05,6.68438926881518e-05,1.89625744684209,6
"604","CCDC15-DT",-0.310698877736365,6.30394013031186,-12.0196752229293,2.60548592701716e-05,6.68438926881518e-05,1.89625744684209,6
"605","EFNA1",0.537271753863521,6.73860984983396,12.21196787689,2.38407701025379e-05,6.21950612961655e-05,1.8810497945383,6
"606","FLVCR1",0.304321260980799,6.80746350187258,11.6388522258035,3.11888511487342e-05,7.7946934938759e-05,1.87916318024813,6
"607","FLVCR1-DT",0.304321260980799,6.80746350187258,11.6388522258035,3.11888511487342e-05,7.7946934938759e-05,1.87916318024813,6
"608","SSR1",-0.261853420189611,6.18690735453544,-11.9058253211434,2.74786952539768e-05,6.98022028865387e-05,1.86480544859036,6
"609","NO_SITE_126",-0.780457563433208,6.44833111487061,-12.0942354234639,2.51690096833695e-05,6.53338609264309e-05,1.85167936205318,6
"610","CYREN",-0.339471102627343,6.2358212146572,-12.0214331737744,2.60335584618074e-05,6.68438926881518e-05,1.85146322960717,6
"611","ZNG1B",-0.296398082611404,5.92465721157008,-11.7755876666965,2.92202168904346e-05,7.37417219078341e-05,1.85024670162037,6
"612","MAT2A",0.575078082879994,6.8541093913983,11.979899872311,2.65422900328508e-05,6.79816600675831e-05,1.83442740791116,6
"613","ARHGEF6",0.422851607729597,6.86843328023449,11.7934762995,2.89735425588373e-05,7.33585439255669e-05,1.82708163492092,6
"614","PDE6A",-0.429695062330934,6.1929006705122,-11.7783705100502,2.91816825732407e-05,7.37417219078341e-05,1.79465280943526,6
"615","RAB7B",-0.273151429840229,6.2816067301537,-11.4857891647736,3.35788166097836e-05,8.29815164462223e-05,1.78010716769322,6
"616","NTS",-0.420187013097961,5.97674832404612,-11.6831136695734,3.05351302029385e-05,7.68095063803998e-05,1.76137715726909,6
"617","SDHA",-0.348883533755457,6.11315001570722,-11.5141243744366,3.31207000000355e-05,8.21117354167546e-05,1.74991915146309,6
"618","KIF22",-0.232127346654969,6.22942371638417,-11.7968426113874,2.89273950248853e-05,7.33585439255669e-05,1.73534296545274,6
"619","TRIM22",-0.39843439351423,6.41856977826541,-11.6253531218551,3.13914655387962e-05,7.83267696588995e-05,1.71799432386435,6
"620","ANXA2R",-0.695995143800624,5.50958264720081,-11.7248655505376,2.99330807991836e-05,7.54177133490832e-05,1.70678569957257,6
"621","PRPF38A",-0.276178099574679,6.39322913868668,-11.6453455201521,3.10919338277527e-05,7.7946934938759e-05,1.66501014007549,6
"622","NO_SITE_125",0.97728006296186,6.67802718800545,11.6434924023243,3.11195571434415e-05,7.7946934938759e-05,1.64572978252783,6
"623","GOLGA8H",-0.480104433357682,5.97286373687639,-11.3508821610417,3.58639357755213e-05,8.82058960965524e-05,1.60185801872314,6
"624","ST6GALNAC6",-0.723953013308544,5.6955860679424,-11.544250627873,3.26416003786481e-05,8.10538616143958e-05,1.59511895849972,6
"625","NFIL3",-0.627733723213448,6.00762813924367,-11.4278290867882,3.45391216381974e-05,8.52185345682478e-05,1.5816345429171,6
"626","POTENTIALLY_ACTIVE_9",0.313570669538829,7.05412021987542,11.5029847328063,3.32999279726076e-05,8.24239817177984e-05,1.57926418001446,6
"627","MARCHF3",-0.252958530422916,6.44518787088407,-11.2493433981713,3.77039231934862e-05,9.15666706127522e-05,1.57455603544075,6
"628","LOC102724800",-0.70909763837599,5.90889505488691,-11.6180656844469,3.15014840997248e-05,7.84747115978651e-05,1.5566789847983,6
"629","CDK2",-0.736919155482044,6.04895713735949,-11.5760381378169,3.21448215860836e-05,7.99486157454523e-05,1.55127333789484,6
"630","CDCA5",-0.226949958405786,6.24882485423659,-11.331439549726,3.62080036404041e-05,8.87698599551586e-05,1.54908810317539,6
"631","ZFPL1",-0.226949958405786,6.24882485423659,-11.331439549726,3.62080036404041e-05,8.87698599551586e-05,1.54908810317539,6
"632","HPGDS",-0.459814561554563,6.10459426850482,-11.2609137307175,3.74887912721048e-05,9.11927850735604e-05,1.52689598601036,6
"633","POLR1E",0.279131587645643,6.8497323253967,11.4090223453641,3.48575753564434e-05,8.58673074465253e-05,1.52266892570487,6
"634","XPO1",-0.336468640644606,6.18366002237755,-11.130950427377,3.99900392890626e-05,9.66634230940309e-05,1.51562971289318,6
"635","GOLGA8EP",0.329491705133268,6.97071287845103,11.2719595501048,3.7284746172876e-05,9.09771330117336e-05,1.50773262683232,6
"636","GOLGA8G",0.329491705133268,6.97071287845103,11.2719595501048,3.7284746172876e-05,9.09771330117336e-05,1.50773262683232,6
"637","LOC107984510",0.375335545188337,6.76168631664803,11.0948720623694,4.07185533103737e-05,9.79651663625943e-05,1.44600245905296,6
"638","NR4A1",0.375335545188337,6.76168631664803,11.0948720623694,4.07185533103737e-05,9.79651663625943e-05,1.44600245905296,6
"639","NO_SITE_245",1.17409204934541,6.06240310925274,11.1842569464396,3.89412712210745e-05,9.42756597480473e-05,1.44555449222614,6
"640","NO_SITE_91",-0.473611970239207,6.04730234307879,-10.9177667556654,4.45271271528423e-05,0.000106301644607171,1.43485880485621,6
"641","GAP43",-0.389952937316025,6.01781862617798,-11.0386749334435,4.18843693327117e-05,0.000100457549391791,1.38302503245489,6
"642","KCND1",-0.641813575822019,6.17344865473719,-11.2607933501843,3.74910221763312e-05,9.11927850735604e-05,1.38146889324569,6
"643","NO_SITE_274",-0.68392584863262,5.46232906356509,-10.8913031434352,4.51311953590707e-05,0.000107412244954588,1.36604166864479,6
"644","NO_SITE_104",1.6198339120858,7.32341196627847,11.278494167849,3.7164644446921e-05,9.09710521509286e-05,1.36427081681797,6
"645","ZWINT",0.280995347502542,6.60528384412049,11.1167235449612,4.02754867440825e-05,9.72015257302584e-05,1.35525272185196,6
"646","LOXL2",-0.608672513487686,5.63131262659238,-11.0204430580259,4.22709198015785e-05,0.000101227728998517,1.34458017089442,6
"647","SLC5A10",-0.408343291795505,6.29521492323221,-11.1898682572983,3.8832749589745e-05,9.41602877983314e-05,1.34285644162165,6
"648","DYNLT1",-0.394207328199076,6.17132595619137,-10.8346789900842,4.64560972022054e-05,0.000110057553402468,1.25481484311246,6
"649","RASGRP3",0.29122552994336,6.76097742190364,11.0481886879226,4.16842965011058e-05,0.000100132929638526,1.24812789654335,6
"650","LOC102724908",-0.267260480732155,6.38160233016264,-10.6222743228203,5.18468455766911e-05,0.000121525863798699,1.24240994503495,6
"651","MAPKBP1",0.271776846530314,6.64126051648473,10.9570467408105,4.36477951608593e-05,0.00010436342985139,1.23150966293746,6
"652","NO_SITE_103",0.488982105901895,6.6647003271995,10.66758725901,5.06381504045908e-05,0.000119234731622378,1.23071839826172,6
"653","AKAP12",-0.440921849809283,6.17982143572561,-10.9006808251125,4.49160506453384e-05,0.000107064915790968,1.21140659101249,6
"654","TMEM179",-0.259052761413303,5.99573852088611,-10.5421891102701,5.40662782566716e-05,0.000125964657323902,1.20685003874385,6
"655","CD300C",-0.298023001133143,6.60477137443126,-10.6328395457873,5.15620463243879e-05,0.000121225662103082,1.19551082473584,6
"656","VSIG2",-0.552968529670805,6.15060821979507,-10.8621598931351,4.58075130851543e-05,0.000108842605102827,1.15746354977616,6
"657","STRADB",0.346551968856197,7.04885829859354,10.7565260599133,4.83599275243513e-05,0.000114043914451481,1.13137188056801,6
"658","TRAK2",0.346551968856197,7.04885829859354,10.7565260599133,4.83599275243513e-05,0.000114043914451481,1.13137188056801,6
"659","NO_SITE_36",0.960902500715513,8.2289911767696,10.8593688545358,4.58729014395882e-05,0.000108842605102827,1.12797319650887,6
"660","LOC112694756",-0.314082394813232,6.09560644551166,-10.4940086691547,5.54548271641009e-05,0.000128618617125733,1.11568125037642,6
"661","LOC105376146",0.638824348356716,6.2613643007504,10.5968123067981,5.25407716369232e-05,0.000122595133819487,1.10493279749079,6
"662","SLC2A1-DT",-0.478923123210408,5.84317999410841,-10.4949644999207,5.54268793538079e-05,0.000128618617125733,1.08113098966938,6
"663","SH2D4A",-0.553537045289889,6.09870837769446,-10.6231879018356,5.18221466035907e-05,0.000121525863798699,1.06275482869384,6
"664","LOC124906021",-0.255623027890352,6.35193612863057,-10.7625473891102,4.82100536957258e-05,0.000114038154537137,1.06152083588862,6
"665","VHL",-0.339686298224309,6.20639183975722,-10.451972121253,5.67003422426259e-05,0.000130918551416929,0.998929138859813,6
"666","RFC3",0.244124961174517,6.70921138944382,10.5200556970553,5.46990664081282e-05,0.000127247301854698,0.992117469293891,6
"667","SLC16A1",-0.293398172016085,6.32498239079057,-10.6151029203527,5.20412044647458e-05,0.000121612905297525,0.988653682634911,6
"668","SLC16A1-AS1",-0.293398172016085,6.32498239079057,-10.6151029203527,5.20412044647458e-05,0.000121612905297525,0.988653682634911,6
"669","GPR141",0.266451158074623,6.89721083883449,10.1658046973325,6.61012223150531e-05,0.000151046663103969,0.958587993698336,6
"670","PDK3",-0.3563033945585,6.08582703045753,-10.4653883791291,5.62993196052843e-05,0.00013018691693479,0.940032536161054,6
"671","NO_SITE_161",-0.654454572993153,5.90512710869661,-10.4209644687198,5.76399866594969e-05,0.000132889805308855,0.925191902471484,6
"672","SPIN1",-0.390101718656544,5.98694835515597,-10.3842581660584,5.87758635401772e-05,0.000135306935858116,0.92104305543682,6
"673","INCA1",-0.76741117509015,5.94231766494317,-10.468240650544,5.62144894009525e-05,0.000130185351951008,0.917073894904838,6
"674","KRTAP4-2",0.329738718622707,6.98206799062448,10.3591601560695,5.95675383131125e-05,0.000136925678707853,0.902163407169191,6
"675","CYP3A4",-0.497693262585832,7.02889152349249,-9.98617839760172,7.29297777763734e-05,0.000164704184262846,0.799937903954369,6
"676","MOB3A",-0.300725690016392,6.09391021663176,-10.1817224261851,6.55328539570602e-05,0.000150414428889573,0.782792258472661,6
"677","NO_SITE_232",0.824076821362087,7.20641529337035,10.1520631937074,6.6596506048743e-05,0.000151953974715937,0.752594286022935,6
"678","DNTTIP1",-0.404259084895449,6.3056825798897,-10.1690137247152,6.59861782599153e-05,0.000151006831017883,0.74774221881164,6
"679","ERAS",-0.648105594292011,5.75836526501281,-10.1752908035061,6.57618175827941e-05,0.00015071634340827,0.738340663957699,6
"680","SULT1E1",-0.233161905964504,6.2718647625051,-10.0611729067845,6.99834704207602e-05,0.000158978603143783,0.724363327375437,6
"681","NO_SITE_54",-0.434306509421256,6.54989942224873,-9.8428600731176,7.89717357919994e-05,0.000177830095007603,0.716300039047056,6
"682","NO_SITE_60",0.645827404301828,6.83596171930282,10.0274900186133,7.12892866718469e-05,0.00016170751683482,0.707475922156155,6
"683","SHOC2",-0.317706723852015,6.40774349778886,-10.1217418971818,6.77047421199002e-05,0.000154255134108226,0.66661103472256,6
"684","CLTCL1",-0.427047691507519,6.04318096904524,-10.0163251579813,7.17283701220587e-05,0.000162465283424341,0.66519873919899,6
"685","CSTP2",-0.67178383674919,5.7258756018922,-9.91754970491221,7.57532114837476e-05,0.00017083122181539,0.632005957730438,6
"686","SHCBP1",-0.482678154708904,6.17848414841933,-10.0668011100696,6.97680023233045e-05,0.000158722205285518,0.631713594732378,6
"687","LOC124905080",-0.515701958217814,5.87378740842181,-9.73557918331854,8.38774389264233e-05,0.000187241555583228,0.623231992826183,6
"688","UBE2T",-0.355414548459252,6.43284127833645,-10.0030752368239,7.22535450834629e-05,0.000163415547140522,0.621753903918506,6
"689","HSPB1",-0.350662150092287,6.18362559832793,-9.82800524844672,7.96306853819542e-05,0.000178810927912379,0.617502775931573,6
"690","ZDHHC7",-0.478696673932769,6.11833578890579,-9.82783037888334,7.96384804987905e-05,0.000178810927912379,0.558069361488036,6
"691","PRODH",-0.259155328264832,6.11121622816614,-9.53361563659962,9.41088322752626e-05,0.000208576452048469,0.555955728256087,6
"692","ZNF710-AS1",-0.367342082657945,6.32644344317292,-9.6045256459555,9.03593349261933e-05,0.000201130778605498,0.525194424332804,6
"693","ITPR1",-0.36511081752696,6.22595942739037,-9.74212604682958,8.35680921398495e-05,0.000186820575925357,0.49756857423813,6
"694","ITPR1-DT",-0.36511081752696,6.22595942739037,-9.74212604682958,8.35680921398495e-05,0.000186820575925357,0.49756857423813,6
"695","NO_SITE_86",0.429429529285359,6.9986175398481,9.54485082192565,9.35028539924205e-05,0.000207530724714885,0.458284676099462,6
"696","POTENTIALLY_ACTIVE_7",-0.92908899276492,5.71496906803977,-9.79131617843428,8.12857965824217e-05,0.000182245112047835,0.454121997282602,6
"697","NO_SITE_250",1.09264683165686,6.61368557337247,9.67726878210608,8.66922696432497e-05,0.000193246312879117,0.452117661342255,6
"698","VASN",0.322420498545436,6.5672363395632,9.42726674517519,0.000100076989944422,0.00022054003339604,0.374307219270015,6
"699","GTSE1",0.322200395552178,6.1639467842611,9.26546115428355,0.000110023124080898,0.000240064559877502,0.354142438535726,6
"700","GTSE1-DT",0.322200395552178,6.1639467842611,9.26546115428355,0.000110023124080898,0.000240064559877502,0.354142438535726,6
"701","NCAPD2",-0.263672407147591,6.20319858658908,-9.20755494137699,0.000113858686411633,0.000248083644899713,0.351482197717631,6
"702","C1QTNF7-AS1",-0.397872754941563,6.41249903102875,-9.5968503054881,9.07566828254577e-05,0.000201724983234171,0.326063103978216,6
"703","TRIM63",-0.330808641701138,6.70953586723643,-9.29545573423046,0.000108095529930807,0.000236525862521865,0.323480782684582,6
"704","KIAA0513",0.30812128787727,6.70821366000939,9.45625201949081,9.84077974813538e-05,0.00021779236438291,0.301067010732533,6
"705","TRIM67",-0.341789971902842,6.5713253300479,-9.40801651025916,0.000101203768712571,0.000222558344233578,0.282616702543907,6
"706","NO_SITE_17",-1.29421147950714,4.77166889467511,-9.40671314098292,0.000101280591041008,0.000222558344233578,0.270807103548085,6
"707","RAB42",-0.589111508244862,5.81454400551596,-9.3393650341197,0.00010534408338393,0.000231159286517645,0.228216888493204,6
"708","CYP3A7",-0.347327454928459,6.55967637620772,-9.43985889757498,9.93478241267439e-05,0.000219245483486552,0.225825985896313,6
"709","CYP3A7-CYP3A51P",-0.347327454928459,6.55967637620772,-9.43985889757498,9.93478241267439e-05,0.000219245483486552,0.225825985896313,6
"710","LGI4",-0.366639628520691,6.18376246246159,-9.1302117983144,0.000119226854419028,0.000257963557742988,0.224068846645338,6
"711","NO_SITE_258",-0.754453191726694,5.77919889434426,-9.32800041792041,0.000106048321929159,0.000232375005700297,0.207729108572526,6
"712","NO_SITE_231",-0.22234521410362,6.55825204489496,-8.94704419114938,0.000133156940600066,0.000284915334866255,0.184662882930253,6
"713","C12orf4",-0.336347610707221,5.95319813601262,-9.18523493871722,0.000115378466188683,0.000250688886508277,0.17646561711029,6
"714","BIRC5",-0.416872240697424,6.12226698303029,-9.16787360110335,0.000116576930484019,0.000252937603729,0.167146082935623,6
"715","MCM10",-0.379975160530338,6.49846023910032,-9.08618721173427,0.000122413723760564,0.000264119986970143,0.165638417207598,6
"716","NEU4",-0.323026775252276,6.21897243628015,-9.18884963521595,0.000115130746598345,0.000250502482401744,0.155908416837562,6
"717","NO_SITE_145",0.361338867541815,6.99855049706837,9.14238979507567,0.000118362409229276,0.000256451886663432,0.115821448241409,6
"718","FER1L4",-0.436950405504202,6.21038224780161,-9.01495617763873,0.000127782200646482,0.000274936111822125,0.115677958930799,6
"719","CTDSP1",-0.206907206626454,6.26474848608415,-8.86052215096321,0.00014038967273545,0.000298738409520964,0.112866066609925,6
"720","AURKB",-0.238044005706861,6.5891851162532,-8.88568744733958,0.000138239934579123,0.000294975419026073,0.09194109725901,6
